ts,time,wall_time,mp_count.O+,real_count.O+,px.O+,py.O+,pz.O+,KE.O+,mp_count.e-,real_count.e-,px.e-,py.e-,pz.e-,KE.e-,PE,E_total
0,2e-10,0.0500904,531441,8e+08,0,0,0,0,68921,1e+08,0,0,0,0,7.61412e-11,7.61412e-11
1,4e-10,0.274594,531441,8e+08,1.49484e-20,1.49484e-20,1.49484e-20,3.30995e-20,68921,1e+08,4.638e-20,4.638e-20,4.638e-20,5.54503e-17,7.61411e-11,7.61412e-11
2,6e-10,0.293188,531441,8e+08,1.52374e-20,1.52374e-20,1.52374e-20,1.29085e-19,68921,1e+08,9.27601e-20,9.27601e-20,9.27601e-20,2.21801e-16,7.61409e-11,7.61411e-11
3,8e-10,0.311674,531441,8e+08,1.61353e-20,1.61496e-20,1.63964e-20,2.91269e-19,68921,1e+08,1.3914e-19,1.3914e-19,1.3914e-19,4.99049e-16,7.61405e-11,7.6141e-11
4,1e-09,0.330445,531441,8e+08,4.45253e-20,4.4511e-20,4.42642e-20,5.19581e-19,68921,1e+08,1.8552e-19,1.8552e-19,1.8552e-19,8.87194e-16,7.61401e-11,7.6141e-11
5,1.2e-09,0.348425,531441,8e+08,4.54232e-20,4.54232e-20,4.54232e-20,8.07607e-19,68921,1e+08,2.319e-19,2.319e-19,2.319e-19,1.38623e-15,7.61396e-11,7.61409e-11
6,1.4e-09,0.366259,531441,8e+08,4.57122e-20,4.57122e-20,4.57122e-20,1.16176e-18,68921,1e+08,2.7828e-19,2.7828e-19,2.7828e-19,1.99615e-15,7.61389e-11,7.61409e-11
7,1.6e-09,0.384129,531441,8e+08,4.661e-20,4.66243e-20,4.68597e-20,1.5821e-18,68921,1e+08,3.2466e-19,3.2466e-19,3.2466e-19,2.71695e-15,7.61381e-11,7.61408e-11
8,1.8e-09,0.402357,531441,8e+08,4.73574e-20,4.73491e-20,4.71715e-20,2.06858e-18,68921,1e+08,3.71039e-19,3.71039e-19,3.71039e-19,3.54863e-15,7.61372e-11,7.61408e-11
9,2e-09,0.422446,531441,8e+08,8.97182e-20,8.97152e-20,8.96864e-20,2.62122e-18,68921,1e+08,4.17419e-19,4.17419e-19,4.17419e-19,4.49116e-15,7.61363e-11,7.61408e-11
10,2.2e-09,0.442401,531441,8e+08,9.00072e-20,9.00042e-20,8.99753e-20,3.23029e-18,68921,1e+08,4.63799e-19,4.63799e-19,4.63799e-19,5.54455e-15,7.61352e-11,7.61407e-11
11,2.4e-09,0.462321,531441,8e+08,9.09056e-20,9.09139e-20,9.1113e-20,3.90555e-18,68921,1e+08,5.10178e-19,5.10178e-19,5.10178e-19,6.70879e-15,7.61339e-11,7.61407e-11
12,2.6e-09,0.482218,531441,8e+08,9.16517e-20,9.16434e-20,9.14214e-20,4.64692e-18,68921,1e+08,5.56557e-19,5.56557e-19,5.56557e-19,7.98385e-15,7.61326e-11,7.61406e-11
13,2.8e-09,0.502154,531441,8e+08,9.255e-20,9.2553e-20,9.25933e-20,5.45446e-18,68921,1e+08,6.02937e-19,6.02936e-19,6.02937e-19,9.36973e-15,7.61312e-11,7.61406e-11
